epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,5778.74,1.96971,1.185,1.24278,0.00876,0.57655,0.17197,0.19925,0.09463,2.61762,2.03632,1.60685,0.01993,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408
71,5868.17,1.95134,1.19859,1.24696,0.00847,0.56521,0.17834,0.2084,0.10735,2.58674,2.00469,1.62515,0.01935,0.00334045,0.00111348,0.00334045,0.00111348,0.00334045,0.00111348,0.00334045,0.00111348
72,5957.21,2.12621,1.24165,1.21865,0.0084,0.45529,0.21019,0.21894,0.09839,2.63855,1.96002,1.60797,0.0203,0.00327852,0.00109284,0.00327852,0.00109284,0.00327852,0.00109284,0.00327852,0.00109284
73,6043.05,1.91679,1.15191,1.18963,0.00794,0.46567,0.21656,0.22081,0.10375,2.59805,1.97789,1.63952,0.01916,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216
74,6123.47,1.9592,1.16229,1.20252,0.0082,0.38466,0.21103,0.20655,0.09013,2.60191,2.02009,1.58375,0.01982,0.00315437,0.00105146,0.00315437,0.00105146,0.00315437,0.00105146,0.00315437,0.00105146
75,6223.69,1.86883,1.11608,1.18052,0.00671,0.38434,0.19745,0.21656,0.10036,2.54041,1.96883,1.57142,0.01897,0.0030922,0.00103073,0.0030922,0.00103073,0.0030922,0.00103073,0.0030922,0.00103073
76,6311.8,1.83846,1.13944,1.22826,0.00658,0.43056,0.21019,0.2279,0.09835,2.63147,1.97542,1.60688,0.01961,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
77,6404.21,1.95822,1.16085,1.21283,0.00806,0.50577,0.20382,0.24128,0.10692,2.60893,1.99698,1.61324,0.02039,0.0029678,0.000989267,0.0029678,0.000989267,0.0029678,0.000989267,0.0029678,0.000989267
78,6494.87,1.85184,1.09179,1.18939,0.00763,0.43708,0.22293,0.24019,0.10915,2.61705,1.99422,1.60193,0.02076,0.00290563,0.000968543,0.00290563,0.000968543,0.00290563,0.000968543,0.00290563,0.000968543
79,6583.92,1.86403,1.17709,1.26086,0.00794,0.49525,0.20001,0.23927,0.11249,2.58145,1.99374,1.60597,0.02046,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837
80,6679.77,1.93109,1.15283,1.20896,0.00778,0.47929,0.21656,0.23139,0.0944,2.62739,2.00762,1.59834,0.01878,0.00278148,0.000927159,0.00278148,0.000927159,0.00278148,0.000927159,0.00278148,0.000927159
81,6766.24,1.869,1.09668,1.18391,0.00776,0.452,0.20382,0.22719,0.10555,2.61102,1.98274,1.57488,0.019,0.00271955,0.000906517,0.00271955,0.000906517,0.00271955,0.000906517,0.00271955,0.000906517
82,6850.4,1.95947,1.14141,1.17194,0.00775,0.42171,0.2293,0.23813,0.10662,2.62269,1.96349,1.57901,0.01891,0.00265776,0.00088592,0.00265776,0.00088592,0.00265776,0.00088592,0.00265776,0.00088592
83,6943.5,1.84961,1.12842,1.22899,0.00736,0.39226,0.23435,0.24174,0.1075,2.54224,1.92288,1.58131,0.01718,0.00259613,0.000865378,0.00259613,0.000865378,0.00259613,0.000865378,0.00259613,0.000865378
84,7031.19,1.88666,1.08519,1.18564,0.00642,0.41291,0.24204,0.237,0.1167,2.51387,1.9133,1.56763,0.01683,0.0025347,0.000844899,0.0025347,0.000844899,0.0025347,0.000844899,0.0025347,0.000844899
85,7125.44,1.83605,1.07376,1.17401,0.00683,0.42034,0.2293,0.24406,0.11377,2.55438,1.93685,1.58337,0.017,0.00247348,0.000824492,0.00247348,0.000824492,0.00247348,0.000824492,0.00247348,0.000824492
86,7212.8,1.93253,1.19005,1.23709,0.00911,0.48924,0.21019,0.23927,0.09948,2.57702,1.93259,1.57641,0.01589,0.0024125,0.000804167,0.0024125,0.000804167,0.0024125,0.000804167,0.0024125,0.000804167
87,7303.21,1.84285,1.13254,1.19701,0.00756,0.52196,0.19745,0.23312,0.11229,2.53863,1.94691,1.58415,0.01615,0.0023518,0.000783933,0.0023518,0.000783933,0.0023518,0.000783933,0.0023518,0.000783933
88,7394.41,1.91462,1.18352,1.22031,0.00864,0.44519,0.20382,0.24272,0.11262,2.56277,1.98517,1.57603,0.01607,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797
89,7480.17,1.91521,1.11142,1.16505,0.00777,0.52377,0.19745,0.24265,0.11121,2.51394,1.93703,1.57255,0.01596,0.00223131,0.000743769,0.00223131,0.000743769,0.00223131,0.000743769,0.00223131,0.000743769
90,7571.67,1.77212,1.10864,1.15693,0.00591,0.51543,0.21656,0.2543,0.11765,2.48551,1.9263,1.55844,0.01694,0.00217158,0.000723859,0.00217158,0.000723859,0.00217158,0.000723859,0.00217158,0.000723859
91,7662.69,1.88699,1.11782,1.18328,0.00784,0.46612,0.22293,0.24201,0.1136,2.46794,1.94084,1.58041,0.01569,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073
92,7751,1.87328,1.05915,1.13703,0.00592,0.43254,0.23567,0.2383,0.11018,2.50819,1.90559,1.58539,0.01591,0.00205327,0.000684422,0.00205327,0.000684422,0.00205327,0.000684422,0.00205327,0.000684422
93,7843.36,1.83112,1.05973,1.16166,0.00646,0.40154,0.21656,0.24528,0.11188,2.52937,1.98529,1.57627,0.01659,0.00199474,0.000664914,0.00199474,0.000664914,0.00199474,0.000664914,0.00199474,0.000664914
94,7932.62,1.8736,1.05283,1.16014,0.00549,0.40355,0.21656,0.24415,0.10885,2.53355,1.98836,1.59448,0.0162,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557
95,8024.84,1.82698,1.11169,1.16976,0.00656,0.41712,0.21881,0.24176,0.11483,2.47295,1.95404,1.56537,0.01698,0.00187908,0.00062636,0.00187908,0.00062636,0.00187908,0.00062636,0.00187908,0.00062636
96,8118.87,1.83679,1.12684,1.18301,0.00744,0.42906,0.24204,0.24604,0.11304,2.49808,1.92475,1.55096,0.01646,0.00182199,0.000607331,0.00182199,0.000607331,0.00182199,0.000607331,0.00182199,0.000607331
97,8211.2,1.94726,1.10941,1.13749,0.00746,0.36971,0.23567,0.24263,0.11305,2.51664,1.92554,1.55572,0.01667,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479
98,8312.6,1.86174,1.09301,1.17295,0.00673,0.37435,0.24841,0.24241,0.11205,2.54147,1.91423,1.54348,0.01605,0.00170943,0.000569811,0.00170943,0.000569811,0.00170943,0.000569811,0.00170943,0.000569811
99,8411.94,1.85618,1.10101,1.15027,0.0072,0.42605,0.25478,0.24469,0.11548,2.48837,1.91404,1.5323,0.01608,0.00165401,0.000551337,0.00165401,0.000551337,0.00165401,0.000551337,0.00165401,0.000551337
100,8503.81,1.83254,1.10452,1.1905,0.0079,0.45369,0.24204,0.25897,0.12442,2.44576,1.90717,1.55238,0.01595,0.00159919,0.000533064,0.00159919,0.000533064,0.00159919,0.000533064,0.00159919,0.000533064
101,8596.79,1.82331,1.10278,1.19089,0.00699,0.45455,0.25478,0.2617,0.12247,2.47544,1.88877,1.55562,0.01669,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
102,8687.42,1.7713,1.01259,1.10718,0.00504,0.52512,0.24204,0.26214,0.12212,2.44826,1.85558,1.55454,0.01607,0.00149146,0.000497153,0.00149146,0.000497153,0.00149146,0.000497153,0.00149146,0.000497153
103,8780.35,1.80102,1.06199,1.17926,0.00587,0.46616,0.23567,0.26696,0.12318,2.50217,1.87589,1.5466,0.01718,0.00143859,0.000479531,0.00143859,0.000479531,0.00143859,0.000479531,0.00143859,0.000479531
104,8871.71,1.65756,0.96482,1.12057,0.0046,0.44248,0.27389,0.2696,0.12393,2.52858,1.87355,1.53357,0.01776,0.00138643,0.000462142,0.00138643,0.000462142,0.00138643,0.000462142,0.00138643,0.000462142
105,8960.37,1.8613,1.08784,1.14168,0.00715,0.48052,0.27103,0.27359,0.11777,2.52694,1.85651,1.5348,0.01689,0.00133498,0.000444994,0.00133498,0.000444994,0.00133498,0.000444994,0.00133498,0.000444994
106,9052.71,1.82613,1.05961,1.16029,0.00628,0.50776,0.24841,0.26687,0.11946,2.53003,1.88419,1.55386,0.017,0.00128428,0.000428093,0.00128428,0.000428093,0.00128428,0.000428093,0.00128428,0.000428093
107,9140.47,1.71707,0.97931,1.15873,0.0059,0.52798,0.24204,0.25372,0.11464,2.53938,1.87021,1.55514,0.01681,0.00123434,0.000411447,0.00123434,0.000411447,0.00123434,0.000411447,0.00123434,0.000411447
108,9232.98,1.7904,1.06527,1.14104,0.00786,0.47964,0.25478,0.25717,0.11344,2.49061,1.8558,1.54075,0.01615,0.00118519,0.000395064,0.00118519,0.000395064,0.00118519,0.000395064,0.00118519,0.000395064
109,9327.33,1.79518,1.08587,1.17349,0.00755,0.52354,0.26115,0.26427,0.11879,2.49309,1.86919,1.54512,0.01599,0.00113685,0.00037895,0.00113685,0.00037895,0.00113685,0.00037895,0.00113685,0.00037895
110,9425.59,1.80428,1.06571,1.14447,0.00645,0.51892,0.24204,0.25972,0.1163,2.55461,1.93831,1.55846,0.0186,0.00108934,0.000363114,0.00108934,0.000363114,0.00108934,0.000363114,0.00108934,0.000363114
111,9523.14,1.80996,1.02199,1.14195,0.0065,0.51243,0.24101,0.2562,0.12222,2.52732,1.89327,1.54867,0.01908,0.00104268,0.000347561,0.00104268,0.000347561,0.00104268,0.000347561,0.00104268,0.000347561
112,9612.17,1.77871,1.06978,1.14149,0.00717,0.5384,0.24841,0.26507,0.12508,2.44421,1.86848,1.52873,0.01763,0.000996895,0.000332298,0.000996895,0.000332298,0.000996895,0.000332298,0.000996895,0.000332298
113,9700.33,1.74128,1.02032,1.11557,0.00606,0.54732,0.23567,0.25189,0.11998,2.47402,1.88521,1.54487,0.01767,0.000952,0.000317333,0.000952,0.000317333,0.000952,0.000317333,0.000952,0.000317333
114,9790.18,1.7937,1.05652,1.14891,0.00807,0.52772,0.24198,0.25343,0.12015,2.47459,1.88996,1.55099,0.01671,0.000908016,0.000302672,0.000908016,0.000302672,0.000908016,0.000302672,0.000908016,0.000302672
115,9890.46,1.82265,1.01564,1.09258,0.00654,0.42861,0.26115,0.25934,0.12205,2.41772,1.86399,1.54454,0.01564,0.000864963,0.000288321,0.000864963,0.000288321,0.000864963,0.000288321,0.000864963,0.000288321
116,9984.58,1.79081,1.02583,1.16769,0.00592,0.46916,0.24841,0.26011,0.11901,2.43608,1.858,1.55021,0.01626,0.00082286,0.000274287,0.00082286,0.000274287,0.00082286,0.000274287,0.00082286,0.000274287
