epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
110,25284.5,1.50765,1.07883,1.1284,0.00521,0.73395,0.57995,0.63716,0.41362,1.43683,1.13836,1.23597,0.00398,0.002806,0.002806,0.002806
111,25522.8,1.52415,1.10463,1.12953,0.00512,0.70136,0.55847,0.60451,0.39091,1.48782,1.17259,1.24725,0.00374,0.00274,0.00274,0.00274
112,25761.1,1.51717,1.09574,1.13125,0.00493,0.71358,0.56325,0.61903,0.39619,1.45158,1.18639,1.22217,0.00354,0.002674,0.002674,0.002674
113,25999,1.50792,1.09099,1.14297,0.00779,0.75485,0.56586,0.62767,0.40551,1.43559,1.17182,1.20938,0.00325,0.002608,0.002608,0.002608
114,26237.5,1.49984,1.09828,1.12606,0.00625,0.68755,0.57995,0.63145,0.41474,1.40145,1.13086,1.20291,0.00286,0.002542,0.002542,0.002542
115,26475.3,1.4658,1.04443,1.12065,0.00465,0.72471,0.57041,0.64045,0.4156,1.43583,1.10287,1.20024,0.00342,0.002476,0.002476,0.002476
116,26713.9,1.49746,1.08825,1.12051,0.00572,0.78081,0.55263,0.63662,0.4048,1.4525,1.14974,1.2197,0.00392,0.00241,0.00241,0.00241
117,26950.8,1.43217,1.05756,1.12643,0.00522,0.73039,0.57544,0.63048,0.41251,1.43965,1.14033,1.1963,0.00319,0.002344,0.002344,0.002344
118,27188.7,1.45561,1.06107,1.10052,0.00474,0.72213,0.57041,0.62889,0.4053,1.41127,1.13009,1.20573,0.00354,0.002278,0.002278,0.002278
119,27427.1,1.483,1.10275,1.09875,0.00475,0.79859,0.55609,0.64572,0.42334,1.41489,1.11761,1.21381,0.00339,0.002212,0.002212,0.002212
120,27665,1.45804,1.08631,1.13517,0.00554,0.72758,0.59427,0.63865,0.40246,1.42576,1.13437,1.20127,0.00325,0.002146,0.002146,0.002146
121,27902.1,1.43799,1.06949,1.12802,0.00545,0.75287,0.57279,0.64148,0.41677,1.41162,1.12011,1.21072,0.00342,0.00208,0.00208,0.00208
122,28140.1,1.48284,1.06468,1.11604,0.00525,0.76687,0.54654,0.63376,0.4101,1.41064,1.16093,1.18008,0.00289,0.002014,0.002014,0.002014
123,28377.5,1.46712,1.06777,1.13124,0.00455,0.75385,0.57742,0.6375,0.41492,1.42702,1.13641,1.20076,0.0036,0.001948,0.001948,0.001948
124,28615.6,1.50277,1.08673,1.12586,0.00434,0.75756,0.55847,0.63072,0.40488,1.39653,1.13803,1.19912,0.00359,0.001882,0.001882,0.001882
125,28853.3,1.48545,1.06015,1.13096,0.00512,0.76713,0.56325,0.64194,0.42119,1.36004,1.13128,1.1932,0.00375,0.001816,0.001816,0.001816
126,29090.4,1.43487,1.05411,1.11512,0.00514,0.75002,0.55847,0.62959,0.40584,1.45419,1.17011,1.21276,0.00337,0.00175,0.00175,0.00175
127,29327.1,1.46241,1.04518,1.10818,0.00535,0.76558,0.55609,0.63892,0.42805,1.33989,1.1474,1.19393,0.00296,0.001684,0.001684,0.001684
128,29564.3,1.45071,1.03002,1.10346,0.00491,0.75843,0.56563,0.64089,0.42502,1.35926,1.13387,1.20576,0.00289,0.001618,0.001618,0.001618
129,29801.5,1.44421,1.04,1.10983,0.00616,0.75132,0.58405,0.65048,0.42674,1.37663,1.10911,1.19781,0.003,0.001552,0.001552,0.001552
130,30039.5,1.35769,0.99055,1.10849,0.00466,0.7307,0.57995,0.64553,0.43674,1.3773,1.15103,1.16978,0.00335,0.001486,0.001486,0.001486
131,30276.5,1.43744,1.00517,1.07136,0.00371,0.75243,0.56086,0.6495,0.44638,1.33714,1.12907,1.16143,0.0039,0.00142,0.00142,0.00142
132,30514.7,1.39682,0.98972,1.09248,0.00435,0.77738,0.57995,0.65953,0.43127,1.35803,1.13085,1.1807,0.00333,0.001354,0.001354,0.001354
133,30752.2,1.39826,0.98227,1.08076,0.00526,0.74141,0.59189,0.64801,0.42949,1.35862,1.12876,1.17555,0.00387,0.001288,0.001288,0.001288
134,30989.3,1.40468,0.99195,1.06811,0.00422,0.78138,0.58234,0.66313,0.44934,1.3631,1.10728,1.17516,0.00368,0.001222,0.001222,0.001222
135,31235.8,1.40063,1.00023,1.06275,0.00475,0.77413,0.57279,0.64955,0.43459,1.37743,1.11448,1.19476,0.00331,0.001156,0.001156,0.001156
136,31475.1,1.37884,0.97184,1.08898,0.00333,0.79382,0.56802,0.6567,0.43531,1.37539,1.10933,1.16411,0.00388,0.00109,0.00109,0.00109
137,31713.6,1.41798,0.99904,1.08158,0.0042,0.80385,0.56728,0.65977,0.44046,1.37852,1.08074,1.17562,0.00385,0.001024,0.001024,0.001024
138,31952.8,1.40357,0.97862,1.06245,0.00416,0.82414,0.5537,0.64946,0.43068,1.34423,1.0936,1.15784,0.00373,0.000958,0.000958,0.000958
139,32193.5,1.40647,0.99891,1.09559,0.00403,0.75867,0.58234,0.65414,0.42855,1.38759,1.09177,1.17783,0.00386,0.000892,0.000892,0.000892
140,32433.2,1.33337,0.95152,1.06937,0.00364,0.78033,0.56802,0.65284,0.43836,1.35953,1.07978,1.17256,0.0034,0.000826,0.000826,0.000826
141,32680.5,1.48996,0.99325,1.022,0.00538,0.77526,0.58454,0.64996,0.43954,1.35436,1.09069,1.17739,0.00324,0.00076,0.00076,0.00076
142,32917.9,1.4492,0.97335,1.01527,0.0044,0.75871,0.59189,0.65131,0.43891,1.36708,1.0909,1.17554,0.00337,0.000694,0.000694,0.000694
143,33156.6,1.51557,0.98199,1.01544,0.00398,0.73848,0.57284,0.64814,0.44096,1.35294,1.11786,1.15926,0.00335,0.000628,0.000628,0.000628
144,33395.7,1.49923,0.99202,1.00124,0.00434,0.74734,0.58711,0.65721,0.4457,1.35654,1.09601,1.16269,0.00346,0.000562,0.000562,0.000562
145,33636.6,1.5176,0.96191,1.01673,0.00404,0.741,0.58039,0.65482,0.44718,1.35151,1.08731,1.17249,0.00353,0.000496,0.000496,0.000496
146,33875.7,1.46482,0.9533,0.99282,0.00528,0.73003,0.60382,0.6626,0.44944,1.33805,1.08911,1.15898,0.00286,0.00043,0.00043,0.00043
147,34114.9,1.42607,0.9374,1.00027,0.00372,0.78975,0.55847,0.65527,0.45102,1.34587,1.08172,1.16053,0.0031,0.000364,0.000364,0.000364
148,34354,1.45575,0.93853,0.99747,0.00475,0.72583,0.59666,0.66108,0.44894,1.34664,1.07883,1.16917,0.00299,0.000298,0.000298,0.000298
149,34592.8,1.54843,0.94513,1.01798,0.00416,0.7695,0.57041,0.66061,0.44998,1.36333,1.08021,1.17509,0.00355,0.000232,0.000232,0.000232
150,34832.5,1.40603,0.92001,1.00715,0.00415,0.71293,0.63007,0.66451,0.45147,1.33973,1.06833,1.16645,0.00343,0.000166,0.000166,0.000166
